48   0  4080377  4036102  4124652 14.7 14.5 14.9  1525944  1494968  1556920 21.0 20.6 21.4  1047625  1020438  1074812 19.9 19.4 20.4  59195  58712  59678  454312  439905  468719 22.8 22.1 23.5 Texas                                         TX est17-tx.txt 06NOV2018
48  53     4722     3596     5848 10.4  7.9 12.9     1771     1292     2250 17.7 12.9 22.5     1240      880     1600 16.8 11.9 21.7  59009  53911  64107                                        Burnet County                                 TX est17-tx.txt 06NOV2018
48  55     5892     4687     7097 14.5 11.5 17.5     2062     1550     2574 21.3 16.0 26.6     1429     1028     1830 20.9 15.0 26.8  51895  47108  56682                                        Caldwell County                               TX est17-tx.txt 06NOV2018
48  57     3497     2780     4214 16.3 13.0 19.6     1291      968     1614 24.2 18.1 30.3      885      643     1127 23.0 16.7 29.3  55240  50765  59715                                        Calhoun County                                TX est17-tx.txt 06NOV2018
48  59     1936     1490     2382 14.0 10.8 17.2      726      543      909 23.3 17.4 29.2      522      380      664 23.0 16.7 29.3  45843  41003  50683                                        Callahan County                               TX est17-tx.txt 06NOV2018
48  61   116191   105251   127131 27.7 25.1 30.3    49643    43911    55375 38.4 34.0 42.8    34901    30598    39204 37.2 32.6 41.8  36624  34375  38873                                        Cameron County                                TX est17-tx.txt 06NOV2018
48  63     2588     2079     3097 20.3 16.3 24.3     1055      811     1299 31.3 24.1 38.5      745      562      928 31.1 23.5 38.7  41932  37440  46424                                        Camp County                                   TX est17-tx.txt 06NOV2018
48  65      510      392      628  8.5  6.5 10.5      165      124      206 11.3  8.5 14.1      115       85      145 10.4  7.6 13.2  60668  54509  66827                                        Carson County                                 TX est17-tx.txt 06NOV2018
48  67     5614     4555     6673 19.0 15.4 22.6     1967     1572     2362 29.5 23.6 35.4     1501     1219     1783 30.9 25.1 36.7  40104  35897  44311                                        Cass County                                   TX est17-tx.txt 06NOV2018
48  69     1337     1022     1652 17.2 13.1 21.3      566      420      712 25.1 18.6 31.6      388      279      497 23.5 16.9 30.1  41746  37667  45825                                        Castro County                                 TX est17-tx.txt 06NOV2018
48  71     3914     3149     4679  9.5  7.6 11.4     1479     1176     1782 12.9 10.3 15.5     1035      806     1264 12.0  9.3 14.7  81018  72186  89850                                        Chambers County                               TX est17-tx.txt 06NOV2018
48  73     8467     6592    10342 17.2 13.4 21.0     3345     2495     4195 25.2 18.8 31.6     2219     1580     2858 23.2 16.5 29.9  47147  44337  49957                                        Cherokee County                               TX est17-tx.txt 06NOV2018
48  75     1133      853     1413 20.3 15.3 25.3      381      284      478 26.7 19.9 33.5      255      185      325 23.8 17.2 30.4  40925  36422  45428                                        Childress County                              TX est17-tx.txt 06NOV2018
48  77     1218      939     1497 11.8  9.1 14.5      368      277      459 17.3 13.0 21.6      260      190      330 16.0 11.7 20.3  53438  47809  59067                                        Clay County                                   TX est17-tx.txt 06NOV2018
48  79      695      554      836 24.8 19.7 29.9      282      219      345 38.3 29.8 46.8      202      155      249 38.0 29.1 46.9  40796  36218  45374                                        Cochran County                                TX est17-tx.txt 06NOV2018
48  81      432      330      534 13.3 10.2 16.4      147      108      186 21.2 15.6 26.8      103       74      132 20.2 14.5 25.9  42314  37878  46750                                        Coke County                                   TX est17-tx.txt 06NOV2018
48  83     2103     1754     2452 25.2 21.0 29.4      721      583      859 41.2 33.3 49.1      499      396      602 37.6 29.9 45.3  35596  31709  39483                                        Coleman County                                TX est17-tx.txt 06NOV2018
48  85    56725    50502    62948  5.9  5.3  6.5    15669    12582    18756  6.2  5.0  7.4    10204     7900    12508  5.3  4.1  6.5  95394  92888  97900                                        Collin County                                 TX est17-tx.txt 06NOV2018
48  87      528      402      654 18.0 13.7 22.3      223      166      280 28.1 20.9 35.3      152      110      194 25.0 18.1 31.9  39809  35540  44078                                        Collingsworth County                          TX est17-tx.txt 06NOV2018
48  89     3101     2433     3769 14.9 11.7 18.1     1119      844     1394 23.0 17.3 28.7      772      564      980 22.0 16.1 27.9  49100  43987  54213                                        Colorado County                               TX est17-tx.txt 06NOV2018
48  91    12473    10497    14449  8.9  7.5 10.3     4158     3338     4978 13.1 10.5 15.7     2941     2343     3539 12.6 10.0 15.2  72562  67639  77485                                        Comal County                                  TX est17-tx.txt 06NOV2018
48  93     2003     1481     2525 15.0 11.1 18.9      753      554      952 25.1 18.5 31.7      509      362      656 22.9 16.3 29.5  46161  42707  49615                                        Comanche County                               TX est17-tx.txt 06NOV2018
48  95      412      312      512 15.4 11.6 19.2      153      113      193 28.2 20.9 35.5      108       78      138 25.8 18.7 32.9  42723  38578  46868                                        Concho County                                 TX est17-tx.txt 06NOV2018
48  97     5104     4028     6180 13.0 10.3 15.7     1914     1488     2340 20.6 16.0 25.2     1240      918     1562 19.1 14.1 24.1  57382  54017  60747                                        Cooke County                                  TX est17-tx.txt 06NOV2018
48  99     8556     6892    10220 13.6 11.0 16.2     3262     2556     3968 19.0 14.9 23.1     2243     1717     2769 18.8 14.4 23.2  51486  48791  54181                                        Coryell County                                TX est17-tx.txt 06NOV2018
48 101      293      227      359 21.2 16.5 25.9      122       93      151 39.4 30.1 48.7       84       62      106 35.1 26.1 44.1  36201  32320  40082                                        Cottle County                                 TX est17-tx.txt 06NOV2018
48 103      541      414      668 11.7  9.0 14.4      231      172      290 16.4 12.2 20.6      164      119      209 16.0 11.6 20.4  56356  50250  62462                                        Crane County                                  TX est17-tx.txt 06NOV2018
48 105      591      451      731 16.8 12.8 20.8      237      176      298 26.3 19.6 33.0      167      121      213 25.5 18.4 32.6  44991  40023  49959                                        Crockett County                               TX est17-tx.txt 06NOV2018
48 107     1300      982     1618 22.3 16.8 27.8      593      436      750 37.8 27.8 47.8      415      297      533 35.9 25.7 46.1  36942  33288  40596                                        Crosby County                                 TX est17-tx.txt 06NOV2018
48 109      489      375      603 22.1 17.0 27.2      189      142      236 35.6 26.8 44.4      130       95      165 33.9 24.7 43.1  37825  33645  42005                                        Culberson County                              TX est17-tx.txt 06NOV2018
48 111      826      633     1019 11.5  8.8 14.2      373      280      466 16.3 12.2 20.4      255      187      323 16.2 11.9 20.5  47838  42690  52986                                        Dallam County                                 TX est17-tx.txt 06NOV2018
48 113   382477   360976   403978 14.8 14.0 15.6   151187   139701   162673 22.1 20.4 23.8   106882    98204   115560 21.8 20.0 23.6  56732  55659  57805                                        Dallas County                                 TX est17-tx.txt 06NOV2018
48 115     2475     1923     3027 21.7 16.9 26.5     1014      771     1257 30.7 23.3 38.1      695      507      883 28.6 20.9 36.3  42127  37528  46726                                        Dawson County                                 TX est17-tx.txt 06NOV2018
48 117     3286     2535     4037 17.7 13.7 21.7     1570     1179     1961 26.7 20.0 33.4     1096      804     1388 26.0 19.1 32.9  42698  38383  47013                                        Deaf Smith County                             TX est17-tx.txt 06NOV2018
