,county,pop_in_poverty,%_pop_in_poverty,median_income,lower_bound_income,upper_bound_income
139,Lamb,2601,20.0,41099,36800,45398
140,Lampasas,2742,13.2,55759,50773,60745
141,La,1731,29.2,41518,37245,45791
142,Lavaca,2365,12.1,51191,46461,55921
143,Lee,2124,12.7,54164,48822,59506
144,Leon,2759,16.1,43189,38779,47599
145,Liberty,12132,15.5,50420,45501,55339
146,Limestone,4192,19.1,41434,37832,45036
147,Lipscomb,448,13.4,54091,48206,59976
148,Live,1922,17.4,50430,45131,55729
149,Llano,2704,12.9,51078,45788,56368
150,Loving,13,9.7,65203,57665,72741
151,Lubbock,55533,18.9,47460,44456,50464
152,Lynn,1047,18.1,44567,40094,49040
153,McCulloch,1515,19.4,40157,35830,44484
154,McLennan,42008,17.3,47306,44700,49912
155,McMullen,89,11.6,68133,61733,74533
156,Madison,2136,18.3,42058,37705,46411
157,Marion,2263,22.8,36936,33150,40722
158,Martin,743,13.3,59907,53339,66475
159,Mason,527,12.5,47213,41982,52444
160,Matagorda,6540,18.0,46801,41894,51708
161,Maverick,15411,27.0,33507,30157,36857
162,Medina,7031,14.7,56173,51638,60708
163,Menard,430,20.6,34033,30231,37835
164,Midland,17528,10.7,76307,70595,82019
165,Milam,4744,19.3,44855,40788,48922
166,Mills,754,15.8,42463,37742,47184
167,Mitchell,1400,20.6,41512,37369,45655
168,Montague,2952,15.3,47590,42980,52200
169,Montgomery,50397,8.9,77149,74591,79707
170,Moore,2551,11.7,51444,47093,55795
171,Morris,2274,18.4,39627,35497,43757
172,Motley,217,17.7,36782,32750,40814
173,Nacogdoches,14453,23.9,42367,38309,46425
174,Navarro,8105,16.9,41944,38060,45828
175,Newton,2739,20.8,41736,37340,46132
176,Nolan,2778,19.3,42662,38616,46708
177,Nueces,57008,16.1,51910,49711,54109
178,Ochiltree,1233,12.3,58962,52817,65107
179,Oldham,238,12.8,55451,50044,60858
180,Orange,11526,13.7,57257,53241,61273
181,Palo,4726,16.8,45869,42221,49517
182,Panola,3418,15.0,48971,46250,51692
183,Parker,10515,8.0,74076,69004,79148
184,Parmer,1296,13.3,48189,43252,53126
185,Pecos,2792,20.6,44352,39693,49011
186,Polk,8060,18.0,44596,40411,48781
187,Potter,21038,18.5,43778,40568,46988
188,Presidio,1672,23.4,29761,26746,32776
189,Rains,1984,17.0,43403,38851,47955
190,Randall,11635,8.8,63077,59451,66703
191,Reagan,419,11.4,58168,52039,64297
192,Real,608,18.2,36146,32166,40126
193,Red,2345,19.5,35643,32016,39270
194,Reeves,3051,25.1,40694,36214,45174
195,Refugio,1198,16.9,42898,38230,47566
196,Roberts,65,7.0,67688,60960,74416
197,Robertson,2952,17.4,44355,40232,48478
198,Rockwall,5039,5.3,98442,91068,105816
199,Runnels,1742,17.3,41830,37590,46070
200,Rusk,7293,15.2,49872,45994,53750
201,Sabine,2093,20.2,37770,33761,41779
202,San,1735,21.6,39133,35309,42957
203,San,5094,18.2,44707,40179,49235
204,San,12613,19.0,50752,47273,54231
205,San,913,17.1,43112,38345,47879
206,Schleicher,485,16.2,45821,40703,50939
207,Scurry,2649,17.2,51772,46322,57222
208,Shackelford,469,14.2,61155,54267,68043
209,Shelby,5247,20.8,39745,36400,43090
210,Sherman,378,12.5,49349,43993,54705
211,Smith,34767,15.6,54044,50482,57606
212,Somervell,901,10.4,62803,56369,69237
213,Starr,20344,32.0,28377,26011,30743
214,Stephens,1682,19.5,41977,37979,45975
215,Sterling,153,12.2,55690,49553,61827
216,Stonewall,208,15.3,43702,38801,48603
217,Sutton,535,14.3,57986,52943,63029
218,Swisher,1367,19.9,41264,37332,45196
219,Tarrant,234362,11.6,65021,63440,66602
220,Taylor,20000,15.2,50338,46894,53782
221,Terrell,156,19.3,39033,34709,43357
222,Terry,2475,21.5,40899,36560,45238
223,Throckmorton,235,15.4,38162,35315,41009
224,Titus,5256,16.3,47097,43255,50939
225,Tom,15211,13.5,49462,45463,53461
226,Travis,139071,11.5,72785,70889,74681
227,Trinity,3046,21.0,34741,31784,37698
228,Tyler,3813,19.6,43394,38900,47888
229,Upshur,6651,16.4,47517,43055,51979
230,Upton,505,14.0,56448,51283,61613
231,Uvalde,5423,20.5,39610,35941,43279
232,Val,10123,21.4,41441,38025,44857
233,Van,7118,13.1,50308,46290,54326
234,Victoria,14191,15.7,52161,48463,55859
